Country,Code,Year,Internet_Users_Percent,Region,IncomeGroup
San Marino,SMR,1999,42.8,Europe & Central Asia,High income
"Somalia, Fed. Rep.",SOM,1999,0.0139,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,1999,0.363,Sub-Saharan Africa,Lower middle income
Suriname,SUR,1999,1.89,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,1999,5.44,Europe & Central Asia,High income
Slovenia,SVN,1999,12.6,Europe & Central Asia,High income
Sweden,SWE,1999,41.4,Europe & Central Asia,High income
Eswatini,SWZ,1999,0.471,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,1999,6.23,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,1999,0.124,Middle East & North Africa,Low income
Chad,TCD,1999,0.0123,Sub-Saharan Africa,Low income
Togo,TGO,1999,0.59,Sub-Saharan Africa,Low income
Thailand,THA,1999,2.43,East Asia & Pacific,Upper middle income
Tajikistan,TJK,1999,0.0328,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,1999,0.045,Europe & Central Asia,Upper middle income
Tonga,TON,1999,1.02,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,1999,5.81,Latin America & Caribbean,High income
Tunisia,TUN,1999,1.6,Middle East & North Africa,Lower middle income
Turkiye,TUR,1999,2.29,Europe & Central Asia,Upper middle income
Tanzania,TZA,1999,0.0751,Sub-Saharan Africa,Lower middle income
Uganda,UGA,1999,0.106,Sub-Saharan Africa,Low income
Ukraine,UKR,1999,0.405,Europe & Central Asia,Upper middle income
Uruguay,URY,1999,9.97,Latin America & Caribbean,High income
United States,USA,1999,35.8,North America,High income
Uzbekistan,UZB,1999,0.0307,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,1999,2.78,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,1999,2.84,Latin America & Caribbean,
Virgin Islands (U.S.),VIR,1999,11.1,Latin America & Caribbean,High income
Viet Nam,VNM,1999,0.129,East Asia & Pacific,Lower middle income
Vanuatu,VUT,1999,0.538,East Asia & Pacific,Lower middle income
Samoa,WSM,1999,0.285,East Asia & Pacific,Upper middle income
"Yemen, Rep.",YEM,1999,0.0566,Middle East & North Africa,Low income
South Africa,ZAF,1999,4.12,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,1999,0.147,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,1999,0.162,Sub-Saharan Africa,Lower middle income
Aruba,ABW,2000,15.44282295,Latin America & Caribbean,High income
Angola,AGO,2000,0.105045562,Sub-Saharan Africa,Lower middle income
Albania,ALB,2000,0.114097347,Europe & Central Asia,Upper middle income
Andorra,AND,2000,10.53883561,Europe & Central Asia,High income
United Arab Emirates,ARE,2000,23.62530088,Middle East & North Africa,High income
Argentina,ARG,2000,7.038683086,Latin America & Caribbean,Upper middle income
Armenia,ARM,2000,1.300470022,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,2000,6.482225737,Latin America & Caribbean,High income
Australia,AUS,2000,46.75611561,East Asia & Pacific,High income
Austria,AUT,2000,33.73013295,Europe & Central Asia,High income
Azerbaijan,AZE,2000,0.147757576,Europe & Central Asia,Upper middle income
Burundi,BDI,2000,0.077248447,Sub-Saharan Africa,Low income
Belgium,BEL,2000,29.43169169,Europe & Central Asia,High income
Benin,BEN,2000,0.225247851,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,2000,0.077080169,Sub-Saharan Africa,Low income
Bangladesh,BGD,2000,0.071039423,South Asia,Lower middle income
Bulgaria,BGR,2000,5.370923469,Europe & Central Asia,High income
Bahrain,BHR,2000,6.153732546,Middle East & North Africa,High income
"Bahamas, The",BHS,2000,8.0,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,2000,1.08296075,Europe & Central Asia,Upper middle income
Belarus,BLR,2000,1.860398126,Europe & Central Asia,Upper middle income
Belize,BLZ,2000,5.963835303,Latin America & Caribbean,Upper middle income
Bermuda,BMU,2000,42.94986002,North America,High income
Bolivia,BOL,2000,1.442763585,Latin America & Caribbean,Lower middle income
Brazil,BRA,2000,2.870685159,Latin America & Caribbean,Upper middle income
Barbados,BRB,2000,3.973678355,Latin America & Caribbean,High income
Brunei Darussalam,BRN,2000,8.996284534,East Asia & Pacific,High income
Bhutan,BTN,2000,0.400944447,South Asia,Lower middle income
Botswana,BWA,2000,2.902666622,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,2000,0.053394174,Sub-Saharan Africa,Low income
Canada,CAN,2000,51.3,North America,High income
Switzerland,CHE,2000,47.1,Europe & Central Asia,High income
Chile,CHL,2000,16.6,Latin America & Caribbean,High income
China,CHN,2000,1.775913207,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,2000,0.231461671,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,2000,0.252120078,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,2000,0.005902114,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,2000,0.026354732,Sub-Saharan Africa,Lower middle income
Colombia,COL,2000,2.207532993,Latin America & Caribbean,Upper middle income
Comoros,COM,2000,0.271740607,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,2000,1.822443852,Sub-Saharan Africa,Upper middle income
Costa Rica,CRI,2000,5.800253023,Latin America & Caribbean,High income
Cuba,CUB,2000,0.541182549,Latin America & Caribbean,Upper middle income
Cyprus,CYP,2000,15.25539437,Europe & Central Asia,High income
Czechia,CZE,2000,9.780527888,Europe & Central Asia,High income
Germany,DEU,2000,30.2163466,Europe & Central Asia,High income
Djibouti,DJI,2000,0.194500528,Middle East & North Africa,Lower middle income
Dominica,DMA,2000,8.814844198,Latin America & Caribbean,Upper middle income
Denmark,DNK,2000,39.17243086,Europe & Central Asia,High income
Dominican Republic,DOM,2000,3.704692356,Latin America & Caribbean,Upper middle income
Algeria,DZA,2000,0.491705679,Middle East & North Africa,Upper middle income
Ecuador,ECU,2000,1.462188536,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,2000,0.641265038,Middle East & North Africa,Lower middle income
Eritrea,ERI,2000,0.136711941,Sub-Saharan Africa,Low income
Spain,ESP,2000,13.62496081,Europe & Central Asia,High income
Estonia,EST,2000,28.57695381,Europe & Central Asia,High income
Ethiopia,ETH,2000,0.015263767,Sub-Saharan Africa,
Finland,FIN,2000,37.24846174,Europe & Central Asia,High income
Fiji,FJI,2000,1.496854734,East Asia & Pacific,Upper middle income
France,FRA,2000,14.30792394,Europe & Central Asia,High income
Faroe Islands,FRO,2000,32.91639236,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,2000,3.734862137,East Asia & Pacific,Lower middle income
Gabon,GAB,2000,1.216140618,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,2000,26.82175435,Europe & Central Asia,High income
Georgia,GEO,2000,0.484746299,Europe & Central Asia,Upper middle income
Ghana,GHA,2000,0.153615298,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,2000,19.13163812,Europe & Central Asia,High income
Guinea,GIN,2000,0.095424924,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,2000,0.921794919,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,2000,0.230103171,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,2000,0.132354665,Sub-Saharan Africa,Upper middle income
Greece,GRC,2000,9.138837308,Europe & Central Asia,High income
Grenada,GRD,2000,4.063907991,Latin America & Caribbean,Upper middle income
Greenland,GRL,2000,31.74781123,Europe & Central Asia,High income
Guatemala,GTM,2000,0.712332905,Latin America & Caribbean,Upper middle income
Guam,GUM,2000,16.11312704,East Asia & Pacific,High income
Guyana,GUY,2000,0.6,Latin America & Caribbean,High income
"Hong Kong SAR, China",HKG,2000,27.82776068,East Asia & Pacific,High income
Honduras,HND,2000,1.203855999,Latin America & Caribbean,Lower middle income
Croatia,HRV,2000,6.644882544,Europe & Central Asia,High income
Haiti,HTI,2000,0.231270715,Latin America & Caribbean,Lower middle income
Hungary,HUN,2000,6.999676351,Europe & Central Asia,High income
Indonesia,IDN,2000,0.925563864,East Asia & Pacific,Upper middle income
India,IND,2000,0.52753245,South Asia,Lower middle income
Ireland,IRL,2000,17.85046724,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,2000,0.93419002,Middle East & North Africa,Upper middle income
Iceland,ISL,2000,44.47053382,Europe & Central Asia,High income
Israel,ISR,2000,20.87379,Middle East & North Africa,High income
Italy,ITA,2000,23.11087424,Europe & Central Asia,High income
Jamaica,JAM,2000,3.115778027,Latin America & Caribbean,Upper middle income
Jordan,JOR,2000,2.623275422,Middle East & North Africa,Lower middle income
Japan,JPN,2000,29.99074036,East Asia & Pacific,High income
Kazakhstan,KAZ,2000,0.668594403,Europe & Central Asia,Upper middle income
Kenya,KEN,2000,0.318059714,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,2000,1.041401145,Europe & Central Asia,Lower middle income
Cambodia,KHM,2000,0.04702264,East Asia & Pacific,Lower middle income
Kiribati,KIR,2000,1.785225474,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,2000,5.86281024,Latin America & Caribbean,High income
"Korea, Rep.",KOR,2000,44.7,East Asia & Pacific,High income
Kuwait,KWT,2000,6.731395768,Middle East & North Africa,High income
Lao PDR,LAO,2000,0.111044032,East Asia & Pacific,Lower middle income
Lebanon,LBN,2000,7.952743736,Middle East & North Africa,Lower middle income
Liberia,LBR,2000,0.017702706,Sub-Saharan Africa,Low income
Libya,LBY,2000,0.187042622,Middle East & North Africa,Upper middle income
St. Lucia,LCA,2000,5.090483341,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,2000,36.51522989,Europe & Central Asia,High income
Sri Lanka,LKA,2000,0.647410011,South Asia,Lower middle income
Lesotho,LSO,2000,0.21180607,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,2000,6.427067495,Europe & Central Asia,High income
Luxembourg,LUX,2000,22.88732797,Europe & Central Asia,High income
Latvia,LVA,2000,6.319062083,Europe & Central Asia,High income
"Macao SAR, China",MAC,2000,13.60858974,East Asia & Pacific,High income
Morocco,MAR,2000,0.693791245,Middle East & North Africa,Lower middle income
Monaco,MCO,2000,42.18486345,Europe & Central Asia,High income
Moldova,MDA,2000,1.282846417,Europe & Central Asia,Upper middle income
Madagascar,MDG,2000,0.196394691,Sub-Saharan Africa,Low income
Maldives,MDV,2000,2.203872939,South Asia,Upper middle income
Mexico,MEX,2000,5.081384153,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,2000,1.534271796,East Asia & Pacific,Upper middle income
North Macedonia,MKD,2000,2.485566316,Europe & Central Asia,Upper middle income
Mali,MLI,2000,0.142545755,Sub-Saharan Africa,Low income
Malta,MLT,2000,13.11370871,Middle East & North Africa,High income
Mongolia,MNG,2000,1.255652004,East Asia & Pacific,Upper middle income
Mozambique,MOZ,2000,0.10959253,Sub-Saharan Africa,Low income
Mauritania,MRT,2000,0.192031462,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,2000,7.281535115,Sub-Saharan Africa,Upper middle income
Malawi,MWI,2000,0.126780945,Sub-Saharan Africa,Low income
Malaysia,MYS,2000,21.38473116,East Asia & Pacific,Upper middle income
Namibia,NAM,2000,1.644739547,Sub-Saharan Africa,Lower middle income
New Caledonia,NCL,2000,13.93954882,East Asia & Pacific,High income
Niger,NER,2000,0.036261294,Sub-Saharan Africa,Low income
Nigeria,NGA,2000,0.064080808,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,2000,0.980216487,Latin America & Caribbean,Lower middle income
Netherlands,NLD,2000,43.98435137,Europe & Central Asia,High income
Norway,NOR,2000,52.0,Europe & Central Asia,High income
Nepal,NPL,2000,0.204651684,South Asia,Lower middle income
New Zealand,NZL,2000,47.37955654,East Asia & Pacific,High income
Oman,OMN,2000,3.520421417,Middle East & North Africa,High income
Panama,PAN,2000,6.554796477,Latin America & Caribbean,High income
Peru,PER,2000,3.076430611,Latin America & Caribbean,Upper middle income
Philippines,PHL,2000,1.982253196,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,2000,0.835249302,East Asia & Pacific,Lower middle income
Poland,POL,2000,7.285428708,Europe & Central Asia,High income
Puerto Rico (US),PRI,2000,10.47464821,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,2000,0.0,East Asia & Pacific,Low income
Portugal,PRT,2000,16.43046769,Europe & Central Asia,High income
Paraguay,PRY,2000,0.747630712,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,2000,1.111306207,Middle East & North Africa,Lower middle income
French Polynesia,PYF,2000,6.357063545,East Asia & Pacific,High income
Qatar,QAT,2000,4.863679179,Middle East & North Africa,High income
Romania,ROU,2000,3.613717291,Europe & Central Asia,High income
Russian Federation,RUS,2000,1.977230109,Europe & Central Asia,High income
Rwanda,RWA,2000,0.06283146,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,2000,2.210691809,Middle East & North Africa,High income
Sudan,SDN,2000,0.025785032,Sub-Saharan Africa,Low income
Senegal,SEN,2000,0.403967486,Sub-Saharan Africa,Lower middle income
Singapore,SGP,2000,36.0,East Asia & Pacific,High income
Solomon Islands,SLB,2000,0.481296806,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,2000,0.118254246,Sub-Saharan Africa,Low income
El Salvador,SLV,2000,1.177397269,Latin America & Caribbean,Upper middle income
San Marino,SMR,2000,48.79949531,Europe & Central Asia,High income
"Somalia, Fed. Rep.",SOM,2000,0.02,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,2000,4.638516816,Sub-Saharan Africa,Lower middle income
Suriname,SUR,2000,2.506411052,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,2000,9.426803201,Europe & Central Asia,High income
Slovenia,SVN,2000,15.11025956,Europe & Central Asia,High income
Sweden,SWE,2000,45.68765221,Europe & Central Asia,High income
Eswatini,SWZ,2000,0.926191777,Sub-Saharan Africa,Lower middle income
Seychelles,SYC,2000,7.395629183,Sub-Saharan Africa,High income
Syrian Arab Republic,SYR,2000,0.18169858,Middle East & North Africa,Low income
Chad,TCD,2000,0.035707076,Sub-Saharan Africa,Low income
Togo,TGO,2000,0.8,Sub-Saharan Africa,Low income
Thailand,THA,2000,3.689041279,East Asia & Pacific,Upper middle income
Tajikistan,TJK,2000,0.048599595,Europe & Central Asia,Lower middle income
Turkmenistan,TKM,2000,0.133282183,Europe & Central Asia,Upper middle income
Tonga,TON,2000,2.434398044,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,2000,7.721411474,Latin America & Caribbean,High income
Tunisia,TUN,2000,2.750740293,Middle East & North Africa,Lower middle income
Turkiye,TUR,2000,3.761685035,Europe & Central Asia,Upper middle income
Tuvalu,TUV,2000,5.241639585,East Asia & Pacific,Upper middle income
Tanzania,TZA,2000,0.11719444,Sub-Saharan Africa,Lower middle income
Uganda,UGA,2000,0.163714063,Sub-Saharan Africa,Low income
Ukraine,UKR,2000,0.716183762,Europe & Central Asia,Upper middle income
Uruguay,URY,2000,10.53905775,Latin America & Caribbean,High income
United States,USA,2000,43.07916264,North America,High income
Uzbekistan,UZB,2000,0.484347308,Europe & Central Asia,Lower middle income
St. Vincent and the Grenadines,VCT,2000,3.245037411,Latin America & Caribbean,Upper middle income
"Venezuela, RB",VEN,2000,3.359597465,Latin America & Caribbean,
Virgin Islands (U.S.),VIR,2000,13.81508054,Latin America & Caribbean,High income
Viet Nam,VNM,2000,0.254248276,East Asia & Pacific,Lower middle income
Vanuatu,VUT,2000,2.108336891,East Asia & Pacific,Lower middle income
Samoa,WSM,2000,0.566392533,East Asia & Pacific,Upper middle income
"Yemen, Rep.",YEM,2000,0.082500387,Middle East & North Africa,Low income
South Africa,ZAF,2000,5.348559732,Sub-Saharan Africa,Upper middle income
Zambia,ZMB,2000,0.191071643,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,2000,0.401433535,Sub-Saharan Africa,Lower middle income
Aruba,ABW,2001,17.1,Latin America & Caribbean,High income
Afghanistan,AFG,2001,0.004722568,Middle East & North Africa,Low income
Angola,AGO,2001,0.136013867,Sub-Saharan Africa,Lower middle income
Albania,ALB,2001,0.325798377,Europe & Central Asia,Upper middle income
United Arab Emirates,ARE,2001,26.2717542,Middle East & North Africa,High income
Argentina,ARG,2001,9.780807285,Latin America & Caribbean,Upper middle income
Armenia,ARM,2001,1.631094667,Europe & Central Asia,Upper middle income
Antigua and Barbuda,ATG,2001,8.899285515,Latin America & Caribbean,High income
Australia,AUS,2001,52.68926643,East Asia & Pacific,High income
Austria,AUT,2001,39.18545018,Europe & Central Asia,High income
Azerbaijan,AZE,2001,0.305564638,Europe & Central Asia,Upper middle income
Burundi,BDI,2001,0.106001245,Sub-Saharan Africa,Low income
Belgium,BEL,2001,31.28839551,Europe & Central Asia,High income
Benin,BEN,2001,0.36341789,Sub-Saharan Africa,Lower middle income
Burkina Faso,BFA,2001,0.157732465,Sub-Saharan Africa,Low income
Bangladesh,BGD,2001,0.129807974,South Asia,Lower middle income
Bulgaria,BGR,2001,7.612297749,Europe & Central Asia,High income
Bahrain,BHR,2001,15.03863425,Middle East & North Africa,High income
"Bahamas, The",BHS,2001,11.8,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,2001,1.200526951,Europe & Central Asia,Upper middle income
Belarus,BLR,2001,4.300616022,Europe & Central Asia,Upper middle income
Bermuda,BMU,2001,47.5096999,North America,High income
Bolivia,BOL,2001,2.120462534,Latin America & Caribbean,Lower middle income
Brazil,BRA,2001,4.528494869,Latin America & Caribbean,Upper middle income
Barbados,BRB,2001,11.93645034,Latin America & Caribbean,High income
Brunei Darussalam,BRN,2001,12.91776908,East Asia & Pacific,High income
Bhutan,BTN,2001,0.864628564,South Asia,Lower middle income
Botswana,BWA,2001,3.430886787,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,2001,0.078543428,Sub-Saharan Africa,Low income
Canada,CAN,2001,60.2,North America,High income
Switzerland,CHE,2001,55.1,Europe & Central Asia,High income
Chile,CHL,2001,19.1,Latin America & Caribbean,High income
China,CHN,2001,2.639650215,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,2001,0.395747702,Sub-Saharan Africa,Lower middle income
Cameroon,CMR,2001,0.277051322,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,2001,0.011475782,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,2001,0.032223616,Sub-Saharan Africa,Lower middle income
Colombia,COL,2001,2.854199971,Latin America & Caribbean,Upper middle income
Comoros,COM,2001,0.443068373,Sub-Saharan Africa,Lower middle income
Cabo Verde,CPV,2001,2.685332713,Sub-Saharan Africa,Upper middle income
Costa Rica,CRI,2001,9.559482135,Latin America & Caribbean,High income
Cuba,CUB,2001,1.079751722,Latin America & Caribbean,Upper middle income
Cyprus,CYP,2001,18.81875904,Europe & Central Asia,High income
Czechia,CZE,2001,14.69717212,Europe & Central Asia,High income
Germany,DEU,2001,31.65093942,Europe & Central Asia,High income
Djibouti,DJI,2001,0.343526263,Middle East & North Africa,Lower middle income
Dominica,DMA,2001,13.24522804,Latin America & Caribbean,Upper middle income
Denmark,DNK,2001,42.95752472,Europe & Central Asia,High income
Dominican Republic,DOM,2001,4.429390697,Latin America & Caribbean,Upper middle income
Algeria,DZA,2001,0.646114017,Middle East & North Africa,Upper middle income
Ecuador,ECU,2001,2.670443674,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,2001,0.838945611,Middle East & North Africa,Lower middle income
Eritrea,ERI,2001,0.157815289,Sub-Saharan Africa,Low income
Spain,ESP,2001,18.14872269,Europe & Central Asia,High income
Estonia,EST,2001,31.52748977,Europe & Central Asia,High income
Ethiopia,ETH,2001,0.037162381,Sub-Saharan Africa,
Finland,FIN,2001,43.10536335,Europe & Central Asia,High income
Fiji,FJI,2001,1.857978594,East Asia & Pacific,Upper middle income
France,FRA,2001,26.32590355,Europe & Central Asia,High income
Faroe Islands,FRO,2001,43.24698352,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,2001,4.660527199,East Asia & Pacific,Lower middle income
Gabon,GAB,2001,1.347620222,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,2001,33.48109487,Europe & Central Asia,High income
Georgia,GEO,2001,0.992344436,Europe & Central Asia,Upper middle income
Ghana,GHA,2001,0.20000806,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,2001,21.17110944,Europe & Central Asia,High income
Guinea,GIN,2001,0.175541868,Sub-Saharan Africa,Lower middle income
"Gambia, The",GMB,2001,1.336791166,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,2001,0.299569145,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,2001,0.165260423,Sub-Saharan Africa,Upper middle income
Greece,GRC,2001,10.93502581,Europe & Central Asia,High income
Grenada,GRD,2001,5.128103982,Latin America & Caribbean,Upper middle income
Greenland,GRL,2001,35.46413689,Europe & Central Asia,High income
Guatemala,GTM,2001,1.738201782,Latin America & Caribbean,Upper middle income
Guam,GUM,2001,25.38022753,East Asia & Pacific,High income
Guyana,GUY,2001,1.0,Latin America & Caribbean,High income
"Hong Kong SAR, China",HKG,2001,38.67140323,East Asia & Pacific,High income
Honduras,HND,2001,1.415281931,Latin America & Caribbean,Lower middle income
Croatia,HRV,2001,11.55857318,Europe & Central Asia,High income
Haiti,HTI,2001,0.340832326,Latin America & Caribbean,Lower middle income
Hungary,HUN,2001,14.5285543,Europe & Central Asia,High income
Indonesia,IDN,2001,2.018613859,East Asia & Pacific,Upper middle income
India,IND,2001,0.660146377,South Asia,Lower middle income
Ireland,IRL,2001,23.13881219,Europe & Central Asia,High income
"Iran, Islamic Rep.",IRN,2001,1.484221332,Middle East & North Africa,Upper middle income
Iraq,IRQ,2001,0.1,Middle East & North Africa,Upper middle income
Iceland,ISL,2001,49.39299537,Europe & Central Asia,High income
Israel,ISR,2001,17.37862386,Middle East & North Africa,High income
Italy,ITA,2001,27.22211698,Europe & Central Asia,High income
Jamaica,JAM,2001,3.863020387,Latin America & Caribbean,Upper middle income
Jordan,JOR,2001,4.705719581,Middle East & North Africa,Lower middle income
Japan,JPN,2001,38.53206086,East Asia & Pacific,High income
Kazakhstan,KAZ,2001,1.006124211,Europe & Central Asia,Upper middle income
Kenya,KEN,2001,0.619782266,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,KGZ,2001,3.002941327,Europe & Central Asia,Lower middle income
Cambodia,KHM,2001,0.076956056,East Asia & Pacific,Lower middle income
Kiribati,KIR,2001,2.337458948,East Asia & Pacific,Lower middle income
St. Kitts and Nevis,KNA,2001,7.714726556,Latin America & Caribbean,High income
"Korea, Rep.",KOR,2001,56.6,East Asia & Pacific,High income
Kuwait,KWT,2001,8.551792434,Middle East & North Africa,High income
Lao PDR,LAO,2001,0.181664461,East Asia & Pacific,Lower middle income
Lebanon,LBN,2001,6.783219775,Middle East & North Africa,Lower middle income
Liberia,LBR,2001,0.033812227,Sub-Saharan Africa,Low income
Libya,LBY,2001,0.366533175,Middle East & North Africa,Upper middle income
St. Lucia,LCA,2001,8.181863954,Latin America & Caribbean,Upper middle income
Liechtenstein,LIE,2001,45.11685265,Europe & Central Asia,High income
Sri Lanka,LKA,2001,0.793821864,South Asia,Lower middle income
Lesotho,LSO,2001,0.261150063,Sub-Saharan Africa,Lower middle income
Lithuania,LTU,2001,7.179356994,Europe & Central Asia,High income
Luxembourg,LUX,2001,36.16342251,Europe & Central Asia,High income
Latvia,LVA,2001,7.219345808,Europe & Central Asia,High income
"Macao SAR, China",MAC,2001,22.52121677,East Asia & Pacific,High income
Morocco,MAR,2001,1.371438101,Middle East & North Africa,Lower middle income
Monaco,MCO,2001,46.64614236,Europe & Central Asia,High income
Moldova,MDA,2001,1.487812952,Europe & Central Asia,Upper middle income
Madagascar,MDG,2001,0.222511586,Sub-Saharan Africa,Low income
Maldives,MDV,2001,3.617290649,South Asia,Upper middle income
Mexico,MEX,2001,7.038023117,Latin America & Caribbean,Upper middle income
Marshall Islands,MHL,2001,1.706614078,East Asia & Pacific,Upper middle income
North Macedonia,MKD,2001,3.468184608,Europe & Central Asia,Upper middle income
Mali,MLI,2001,0.185897413,Sub-Saharan Africa,Low income
Malta,MLT,2001,17.87784832,Middle East & North Africa,High income
Myanmar,MMR,2001,0.000289277,East Asia & Pacific,Lower middle income
Mongolia,MNG,2001,1.653238239,East Asia & Pacific,Upper middle income
Mozambique,MOZ,2001,0.160031947,Sub-Saharan Africa,Low income
Mauritania,MRT,2001,0.261448552,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,2001,8.780904019,Sub-Saharan Africa,Upper middle income
Malawi,MWI,2001,0.164020725,Sub-Saharan Africa,Low income
Malaysia,MYS,2001,26.6959725,East Asia & Pacific,Upper middle income
Namibia,NAM,2001,2.416979442,Sub-Saharan Africa,Lower middle income
New Caledonia,NCL,2001,18.23710978,East Asia & Pacific,High income
Niger,NER,2001,0.105185431,Sub-Saharan Africa,Low income
Nigeria,NGA,2001,0.08990137,Sub-Saharan Africa,Lower middle income
Nicaragua,NIC,2001,1.448799428,Latin America & Caribbean,Lower middle income
Netherlands,NLD,2001,49.37306211,Europe & Central Asia,High income
Norway,NOR,2001,64.0,Europe & Central Asia,High income
Nepal,NPL,2001,0.240015303,South Asia,Lower middle income
Nauru,NRU,2001,2.987155233,East Asia & Pacific,High income
New Zealand,NZL,2001,53.24101529,East Asia & Pacific,High income
Oman,OMN,2001,5.893841521,Middle East & North Africa,High income
Pakistan,PAK,2001,1.318550779,Middle East & North Africa,Lower middle income
Panama,PAN,2001,7.268399878,Latin America & Caribbean,High income
Peru,PER,2001,7.578762957,Latin America & Caribbean,Upper middle income
Philippines,PHL,2001,2.52400566,East Asia & Pacific,Lower middle income
Papua New Guinea,PNG,2001,0.904103545,East Asia & Pacific,Lower middle income
Poland,POL,2001,9.900669707,Europe & Central Asia,High income
Puerto Rico (US),PRI,2001,15.63003092,Latin America & Caribbean,High income
"Korea, Dem. People's Rep.",PRK,2001,0.0,East Asia & Pacific,Low income
Portugal,PRT,2001,18.08713656,Europe & Central Asia,High income
Paraguay,PRY,2001,1.098793836,Latin America & Caribbean,Upper middle income
West Bank and Gaza,PSE,2001,1.836854839,Middle East & North Africa,Lower middle income
French Polynesia,PYF,2001,6.251588946,East Asia & Pacific,High income
Qatar,QAT,2001,6.170268561,Middle East & North Africa,High income
Romania,ROU,2001,4.538669029,Europe & Central Asia,High income
Russian Federation,RUS,2001,2.944367787,Europe & Central Asia,High income
Rwanda,RWA,2001,0.24067241,Sub-Saharan Africa,Low income
Saudi Arabia,SAU,2001,4.681053166,Middle East & North Africa,High income
Sudan,SDN,2001,0.140185224,Sub-Saharan Africa,Low income
Senegal,SEN,2001,0.983794059,Sub-Saharan Africa,Lower middle income
Singapore,SGP,2001,41.67042518,East Asia & Pacific,High income
Solomon Islands,SLB,2001,0.468551964,East Asia & Pacific,Lower middle income
Sierra Leone,SLE,2001,0.160264445,Sub-Saharan Africa,Low income
El Salvador,SLV,2001,1.5,Latin America & Caribbean,Upper middle income
San Marino,SMR,2001,50.34166909,Europe & Central Asia,High income
"Somalia, Fed. Rep.",SOM,2001,0.079039179,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,2001,6.310917888,Sub-Saharan Africa,Lower middle income
Suriname,SUR,2001,3.064448389,Latin America & Caribbean,Upper middle income
Slovak Republic,SVK,2001,12.52832185,Europe & Central Asia,High income
Slovenia,SVN,2001,30.17591047,Europe & Central Asia,High income
Sweden,SWE,2001,51.76566494,Europe & Central Asia,High income
Eswatini,SWZ,2001,1.28159005,Sub-Saharan Africa,Lower middle income
